date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:12	51438/51438	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2019%20May%202023%2017:30:47%20GMT	https://www.ivanmaia.com/wp-content/plugins/pixelyoursite/dist/scripts/public.js?ver=9.3.7	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/pixelyoursite/dist/scripts/public79e1.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2002%20Aug%202023%2020:15:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.googletagmanager.com/gtm.165445.delayed	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:13	175736/175736	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Aug%202023%2020:15:05%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/connect.facebook.net/en_US/fbevents.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:13	960/960	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Feb%202020%2002:18:06%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cropped-favicon-32x32.png	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cropped-favicon-32x32.png	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:14	13879/13879	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Feb%202020%2002:18:06%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cropped-favicon-192x192.png	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cropped-favicon-192x192.png	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:14	17922/17922	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Feb%202020%2002:18:06%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cropped-favicon-180x180.png	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cropped-favicon-180x180.png	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:14	5654/5654	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Apr%202020%2010:54:18%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/04/logo-fina-arte.png	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/04/logo-fina-arte.png	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:14	3089/3089	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:46%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-soreparos.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-soreparos.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:14	3844/3844	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:46%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-pepper.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-pepper.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:15	3451/3451	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:45%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-centroar.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-centroar.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
